EC 1.1.1.1	 alcohol dehydrogenase
EC 1.1.1.2	 alcohol dehydrogenase (NADP+)
EC 1.1.1.3	 homoserine dehydrogenase
EC 1.1.1.4	 (R,R)-butanediol dehydrogenase
EC 1.1.1.5	 Transferred to *EC 1.1.1.303 and *EC 1.1.1.304
EC 1.1.1.6	 glycerol dehydrogenase
EC 1.1.1.7	 propanediol-phosphate dehydrogenase
EC 1.1.1.8	 glycerol-3-phosphate dehydrogenase (NAD+)
EC 1.1.1.9	 D-xylulose reductase
EC 1.1.1.10	 L-xylulose reductase
EC 1.1.1.11	 D-arabinitol 4-dehydrogenase
EC 1.1.1.12	 L-arabinitol 4-dehydrogenase
EC 1.1.1.13	 L-arabinitol 2-dehydrogenase
EC 1.1.1.14	 L-iditol 2-dehydrogenase
EC 1.1.1.15	 D-iditol 2-dehydrogenase
EC 1.1.1.16	 galactitol 2-dehydrogenase
EC 1.1.1.17	 mannitol-1-phosphate 5-dehydrogenase
EC 1.1.1.18	 inositol 2-dehydrogenase
EC 1.1.1.19	 L-glucuronate reductase
EC 1.1.1.20	 glucuronolactone reductase
EC 1.1.1.21	 aldehyde reductase
EC 1.1.1.22	 UDP-glucose 6-dehydrogenase
EC 1.1.1.23	 histidinol dehydrogenase
EC 1.1.1.24	 quinate dehydrogenase
EC 1.1.1.25	 shikimate dehydrogenase
EC 1.1.1.26	 glyoxylate reductase
EC 1.1.1.27	 L-lactate dehydrogenase
EC 1.1.1.28	 D-lactate dehydrogenase
EC 1.1.1.29	 glycerate dehydrogenase
EC 1.1.1.30	 3-hydroxybutyrate dehydrogenase
EC 1.1.1.31	 3-hydroxyisobutyrate dehydrogenase
EC 1.1.1.32	 mevaldate reductase
EC 1.1.1.33	 mevaldate reductase (NADPH)
EC 1.1.1.34	 hydroxymethylglutaryl-CoA reductase (NADPH)
EC 1.1.1.35	 3-hydroxyacyl-CoA dehydrogenase
EC 1.1.1.36	 acetoacetyl-CoA reductase
EC 1.1.1.37	 malate dehydrogenase
EC 1.1.1.38	 malate dehydrogenase (oxaloacetate-decarboxylating)
EC 1.1.1.39	 malate dehydrogenase (decarboxylating)
EC 1.1.1.40	 malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)
EC 1.1.1.41	 isocitrate dehydrogenase (NAD+)
EC 1.1.1.42	 isocitrate dehydrogenase (NADP+)
EC 1.1.1.43	 phosphogluconate 2-dehydrogenase
EC 1.1.1.44	 phosphogluconate dehydrogenase (decarboxylating)
EC 1.1.1.45	 L-gulonate 3-dehydrogenase
EC 1.1.1.46	 L-arabinose 1-dehydrogenase
EC 1.1.1.47	 glucose 1-dehydrogenase
EC 1.1.1.48	 galactose 1-dehydrogenase
EC 1.1.1.49	 glucose-6-phosphate dehydrogenase
EC 1.1.1.50	 3a-hydroxysteroid dehydrogenase (B-specific)
EC 1.1.1.51	 3(or 17)b-hydroxysteroid dehydrogenase
EC 1.1.1.52	 3a-hydroxycholanate dehydrogenase
EC 1.1.1.53	 3a(or 20b)-hydroxysteroid dehydrogenase
EC 1.1.1.54	 allyl-alcohol dehydrogenase
EC 1.1.1.55	 lactaldehyde reductase (NADPH)
EC 1.1.1.56	 ribitol 2-dehydrogenase
EC 1.1.1.57	 fructuronate reductase
EC 1.1.1.58	 tagaturonate reductase
EC 1.1.1.59	 3-hydroxypropionate dehydrogenase
EC 1.1.1.60	 2-hydroxy-3-oxopropionate reductase
EC 1.1.1.61	 4-hydroxybutyrate dehydrogenase
EC 1.1.1.62	 estradiol 17b-dehydrogenase
EC 1.1.1.63	 testosterone 17b-dehydrogenase
EC 1.1.1.64	 testosterone 17b-dehydrogenase (NADP+)
EC 1.1.1.65	 pyridoxine 4-dehydrogenase
EC 1.1.1.66	 w-hydroxydecanoate dehydrogenase
EC 1.1.1.67	 mannitol 2-dehydrogenase
EC 1.1.1.68	 now *EC 1.7.99.5
EC 1.1.1.69	 gluconate 5-dehydrogenase
EC 1.1.1.70	 deleted, included in *EC 1.2.1.3
EC 1.1.1.71	 alcohol dehydrogenase (NAD(P)+)
EC 1.1.1.72	 glycerol dehydrogenase (NADP+)
EC 1.1.1.73	 octanol dehydrogenase
EC 1.1.1.74	 deleted
EC 1.1.1.75	 (R)-aminopropanol dehydrogenase
EC 1.1.1.76	 (S,S)-butanediol dehydrogenase
EC 1.1.1.77	 lactaldehyde reductase
EC 1.1.1.78	 methylglyoxal reductase (NADH-dependent)
EC 1.1.1.79	 glyoxylate reductase (NADP+)
EC 1.1.1.80	 isopropanol dehydrogenase (NADP+)
EC 1.1.1.81	 hydroxypyruvate reductase
EC 1.1.1.82	 malate dehydrogenase (NADP+)
EC 1.1.1.83	 D-malate dehydrogenase (decarboxylating)
EC 1.1.1.84	 dimethylmalate dehydrogenase
EC 1.1.1.85	 3-isopropylmalate dehydrogenase
EC 1.1.1.86	 ketol-acid reductoisomerase
