EC 2.1.1.1	 nicotinamide N-methyltransferase
EC 2.1.1.2	 guanidinoacetate N-methyltransferase
EC 2.1.1.3	 thetin—homocysteine S-methyltransferase
EC 2.1.1.4	 acetylserotonin O-methyltransferase
EC 2.1.1.5	 betaine—homocysteine S-methyltransferase
EC 2.1.1.6	 catechol O-methyltransferase
EC 2.1.1.7	 nicotinate N-methyltransferase
EC 2.1.1.8	 histamine N-methyltransferase
EC 2.1.1.9	 thiol S-methyltransferase
EC 2.1.1.10	 homocysteine S-methyltransferase
EC 2.1.1.11	 magnesium protoporphyrin IX methyltransferase
EC 2.1.1.12	 methionine S-methyltransferase
EC 2.1.1.13	 methionine synthase
EC 2.1.1.14	 5-methyltetrahydropteroyltriglutamate—homocysteine S-methyltransferase
EC 2.1.1.15	 fatty-acid O-methyltransferase
EC 2.1.1.16	 methylene-fatty-acyl-phospholipid synthase
EC 2.1.1.17	 phosphatidylethanolamine N-methyltransferase
EC 2.1.1.18	 polysaccharide O-methyltransferase
EC 2.1.1.19	 trimethylsulfonium—tetrahydrofolate N-methyltransferase
EC 2.1.1.20	 glycine N-methyltransferase
EC 2.1.1.21	 methylamine—glutamate N-methyltransferase
EC 2.1.1.22	 carnosine N-methyltransferase
EC 2.1.1.23	 now covered by EC 2.1.1.124, EC 2.1.1.125 and EC 2.1.1.126
EC 2.1.1.24	 now covered by EC 2.1.1.77, EC 2.1.1.80 and EC 2.1.1.100
EC 2.1.1.25	 phenol O-methyltransferase
EC 2.1.1.26	 iodophenol O-methyltransferase
EC 2.1.1.27	 tyramine N-methyltransferase
EC 2.1.1.28	 phenylethanolamine N-methyltransferase
EC 2.1.1.29	 tRNA (cytosine-5-)-methyltransferase
EC 2.1.1.30	 deleted
EC 2.1.1.31	 tRNA (guanine-N1-)-methyltransferase
EC 2.1.1.32	 tRNA (guanine-N2-)-methyltransferase
EC 2.1.1.33	 tRNA (guanine-N7-)-methyltransferase
EC 2.1.1.34	 tRNA guanosine-2'-O-methyltransferase
EC 2.1.1.35	 tRNA (uracil-5-)-methyltransferase
EC 2.1.1.36	 tRNA (adenine-N1-)-methyltransferase
EC 2.1.1.37	 DNA (cytosine-5-)-methyltransferase
EC 2.1.1.38	 O-demethylpuromycin O-methyltransferase
EC 2.1.1.39	 inositol 3-methyltransferase
EC 2.1.1.40	 inositol 1-methyltransferase
EC 2.1.1.41	 sterol 24-C-methyltransferase
EC 2.1.1.42	 luteolin O-methyltransferase
EC 2.1.1.43	 histone-lysine N-methyltransferase
EC 2.1.1.44	 dimethylhistidine N-methyltransferase
EC 2.1.1.45	 thymidylate synthase
EC 2.1.1.46	 isoflavone 4'-O-methyltransferase
EC 2.1.1.47	 indolepyruvate C-methyltransferase
EC 2.1.1.48	 rRNA (adenine-N6-)-methyltransferase
EC 2.1.1.49	 amine N-methyltransferase
EC 2.1.1.50	 loganate O-methyltransferase
EC 2.1.1.51	 rRNA (guanine-N1-)-methyltransferase
EC 2.1.1.52	 rRNA (guanine-N2-)-methyltransferase
EC 2.1.1.53	 putrescine N-methyltransferase
EC 2.1.1.54	 deoxycytidylate C-methyltransferase
EC 2.1.1.55	 tRNA (adenine-N6-)-methyltransferase
EC 2.1.1.56	 mRNA (guanine-N7-)-methyltransferase
EC 2.1.1.57	 mRNA (nucleoside-2'-O-)-methyltransferase
EC 2.1.1.58	 deleted, included in EC 2.1.1.57
EC 2.1.1.59	 (cytochrome c)-lysine N-methyltransferase
EC 2.1.1.60	 calmodulin-lysine N-methyltransferase
EC 2.1.1.61	 tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
EC 2.1.1.62	 mRNA (2'-O-methyladenosine-N6-)-methyltransferase
EC 2.1.1.63	 methylated-DNA—(protein)-cysteine S-methyltransferase
EC 2.1.1.64	 3-demethylubiquinone-9 3-O-methyltransferase
EC 2.1.1.65	 licodione 2'-O-methyltransferase
EC 2.1.1.66	 rRNA (adenosine-2'-O-)-methyltransferase
EC 2.1.1.67	 thiopurine S-methyltransferase
EC 2.1.1.68	 caffeate O-methyltransferase
EC 2.1.1.69	 5-hydroxyfuranocoumarin 5-O-methyltransferase
EC 2.1.1.70	 8-hydroxyfuranocoumarin 8-O-methyltransferase
EC 2.1.1.71	 phosphatidyl-N-methylethanolamine N-methyltransferase
EC 2.1.1.72	 site-specific DNA-methyltransferase (adenine-specific)
EC 2.1.1.73	 deleted
EC 2.1.1.74	 methylenetetrahydrofolate—tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing)
EC 2.1.1.75	 apigenin 4'-O-methyltransferase
EC 2.1.1.76	 quercetin 3-O-methyltransferase
EC 2.1.1.77	 protein-L-isoaspartate(D-aspartate) O-methyltransferase
EC 2.1.1.78	 isoorientin 3'-O-methyltransferase
EC 2.1.1.79	 cyclopropane-fatty-acyl-phospholipid synthase
EC 2.1.1.80	 protein-glutamate O-methyltransferase
EC 2.1.1.81	 deleted, included in EC 2.1.1.49
EC 2.1.1.82	 3-methylquercetin 7-O-methyltransferase
EC 2.1.1.83	 3,7-dimethylquercetin 4'-O-methyltransferase
EC 2.1.1.84	 methylquercetagetin 6-O-methyltransferase
EC 2.1.1.85	 protein-histidine N-methyltransferase
EC 2.1.1.86	 tetrahydromethanopterin S-methyltransferase
