EC 2.1.1:	 Methyltransferases
EC 2.1.2:	 Hydroxymethyl-, Formyl- and Related Transferases
EC 2.1.3:	 Carboxy- and Carbamoyltransferases
EC 2.1.4:	 Amidinotransferases
EC 2.2.1:	 Transketolases and Transaldolases
EC 2.3.1:	 Transferring groups other than amino-acyl groups
EC 2.3.2:	 Aminoacyltransferases
EC 2.3.3:	 Acyl groups converted into alkyl on transfer
EC 2.4.1:	 Hexosyltransferases
EC 2.4.2:	 Pentosyltransferases
EC 2.4.99:	 Transferring Other Glycosyl Groups
EC 2.6.1:	 Transaminases
EC 2.6.2:	 Amidinotransferases
EC 2.6.3:	 Oximinotransferases
EC 2.6.99:	 Transferring Other Nitrogenous Groups
EC 2.7.1:	 Phosphotransferases with an alcohol group as acceptor
EC 2.7.2:	 Phosphotransferases with a carboxy group as acceptor
EC 2.7.3:	 Phosphotransferases with a nitrogenous group as acceptor
EC 2.7.4:	 Phosphotransferases with a phosphate group as acceptor
EC 2.7.5:	 Phosphotransferases with regeneration of donors, apparently catalysing intramolecular transfers
EC 2.7.6:	 Diphosphotransferases
EC 2.7.7:	 Nucleotidyltransferases
EC 2.7.8:	 Transferases for other substituted phosphate groups
EC 2.7.9:	 Phosphotransferases with paired acceptors (dikinases)
EC 2.7.10:	 Protein-tyrosine kinases
EC 2.7.11:	 Protein-serine/threonine kinases
EC 2.7.12:	 Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)
EC 2.7.13:	 Protein-histidine kinases
EC 2.7.99:	 Other protein kinases
EC 2.8.1:	 Sulfurtransferases
EC 2.8.2:	 Sulfotransferases
EC 2.8.3:	 CoA-transferases
EC 2.8.4:	 Transferring alkylthio groups
EC 2.9.1:	 Selenotransferases
EC 2.10.1:	 Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors
