EC 3.1.1:	 Carboxylic Ester Hydrolases
EC 3.1.2:	 Thioester Hydrolases
EC 3.1.3:	 Phosphoric Monoester Hydrolases
EC 3.1.4:	 Phosphoric Diester Hydrolases
EC 3.1.5:	 Triphosphoric Monoester Hydrolases
EC 3.1.6:	 Sulfuric Ester Hydrolases
EC 3.1.7:	 Diphosphoric Monoester Hydrolases
EC 3.1.8:	 Phosphoric Triester Hydrolases
EC 3.1.11:	 Exodeoxyribonucleases Producing 5'-Phosphomonoesters
EC 3.1.13:	 Exoribonucleases Producing 5'-Phosphomonoesters
EC 3.1.14:	 Exoribonucleases Producing 3'-Phosphomonoesters
EC 3.1.15:	 Exonucleases Active with either Ribo- or Deoxyribonucleic Acids and Producing 5'-Phosphomonoesters
EC 3.1.16:	 Exonucleases Active with either Ribo- or Deoxyribonucleic Acids and Producing 3'-Phosphomonoesters
EC 3.1.21:	 Endodeoxyribonucleases Producing 5'-Phosphomonoesters
EC 3.1.22:	 Endodeoxyribonucleases Producing 3'-Phosphomonoesters
EC 3.1.23:	 and EC 3.1.24 now EC 3.1.21.3, EC 3.1.21.4 and EC 3.1.21.5
EC 3.1.25:	 Site-Specific Endodeoxyribonucleases Specific for Altered Bases
EC 3.1.26:	 Endoribonucleases Producing 5'-Phosphomonoesters
EC 3.1.27:	 Endoribonucleases Producing 3'-Phosphomonoesters
EC 3.1.30:	 Endoribonucleases Active with either Ribo- or Deoxyribonucleic Acids and Producing 5'-Phosphomonoesters
EC 3.1.31:	 Endoribonucleases Active with either Ribo- or Deoxyribonucleic Acids and Producing 3'-Phosphomonoesters
EC 3.2.1:	 Glycosidases, i.e. enzymes hydrolysing O- and S-glycosyl compounds
EC 3.2.2:	 Hydrolysing N-Glycosyl Compounds
EC 3.2.3:	 Hydrolysing S-Glycosyl Compounds
EC 3.3.1:	 Thioether and trialkylsulfonium hydrolases
EC 3.3.2:	 Ether Hydrolases
EC 3.4.1	 α-amino acyl peptide hydrolases (discontinued)
EC 3.4.2	 Peptidyl amino acid hydrolases (discontinued)
EC 3.4.3	 Dipeptide Hydrolases (discontinued)
EC 3.4.4	 Peptidyl Peptide Hydrolases (discontinued)
EC 3.4.11	 Aminopeptidases
EC 3.4.13	 Dipeptidases
EC 3.4.14	 Dipeptidyl peptidases and tripeptidyl peptidases
EC 3.4.15	 Peptidyl dipeptidases
EC 3.4.16	 Serine type carboxypeptidases
EC 3.4.17	 Metallocarboxypeptidases
EC 3.4.18	 Cysteine type carboxypeptidases
EC 3.4.19	 Omega peptidases
EC 3.4.21:	 Serine proteases
EC 3.4.22	 Cysteine proteases
EC 3.4.23	 Aspartic endopeptidases
EC 3.4.24:	 Metallopeptidases
EC 3.4.25	 Threonine endopeptidases
EC 3.4.99	 Endopeptidases of unknown catalytic mechanism
