EC 4.1.1.1	 pyruvate decarboxylase
EC 4.1.1.2	 oxalate decarboxylase
EC 4.1.1.3	 oxaloacetate decarboxylase
EC 4.1.1.4	 acetoacetate decarboxylase
EC 4.1.1.5	 acetolactate decarboxylase
EC 4.1.1.6	 aconitate decarboxylase
EC 4.1.1.7	 benzoylformate decarboxylase
EC 4.1.1.8	 oxalyl-CoA decarboxylase
EC 4.1.1.9	 malonyl-CoA decarboxylase
EC 4.1.1.10	 deleted, included in EC 4.1.1.12
EC 4.1.1.11	 aspartate 1-decarboxylase
EC 4.1.1.12	 aspartate 4-decarboxylase
EC 4.1.1.13	 deleted
EC 4.1.1.14	 valine decarboxylase
EC 4.1.1.15	 glutamate decarboxylase
EC 4.1.1.16	 hydroxyglutamate decarboxylase
EC 4.1.1.17	 ornithine decarboxylase
EC 4.1.1.18	 lysine decarboxylase
EC 4.1.1.19	 arginine decarboxylase
EC 4.1.1.20	 diaminopimelate decarboxylase
EC 4.1.1.21	 phosphoribosylaminoimidazole carboxylase
EC 4.1.1.22	 histidine decarboxylase
EC 4.1.1.23	 orotidine-5'-phosphate decarboxylase
EC 4.1.1.24	 aminobenzoate decarboxylase
EC 4.1.1.25	 tyrosine decarboxylase
EC 4.1.1.26	 deleted, included in EC 4.1.1.28
EC 4.1.1.27	 deleted, included in EC 4.1.1.28
EC 4.1.1.28	 aromatic-L-amino-acid decarboxylase
EC 4.1.1.29	 sulfoalanine decarboxylase
EC 4.1.1.30	 pantothenoylcysteine decarboxylase
EC 4.1.1.31	 phosphoenolpyruvate carboxylase
EC 4.1.1.32	 phosphoenolpyruvate carboxykinase (GTP)
EC 4.1.1.33	 diphosphomevalonate decarboxylase
EC 4.1.1.34	 dehydro-L-gulonate decarboxylase
EC 4.1.1.35	 UDP-glucuronate decarboxylase
EC 4.1.1.36	 phosphopantothenoylcysteine decarboxylase
EC 4.1.1.37	 uroporphyrinogen decarboxylase
EC 4.1.1.38	 phosphoenolpyruvate carboxykinase (diphosphate)
EC 4.1.1.39	 ribulose-bisphosphate carboxylase
EC 4.1.1.40	 hydroxypyruvate decarboxylase
EC 4.1.1.41	 methylmalonyl-CoA decarboxylase
EC 4.1.1.42	 carnitine decarboxylase
EC 4.1.1.43	 phenylpyruvate decarboxylase
EC 4.1.1.44	 4-carboxymuconolactone decarboxylase
EC 4.1.1.45	 aminocarboxymuconate-semialdehyde decarboxylase
EC 4.1.1.46	 o-pyrocatechuate decarboxylase
EC 4.1.1.47	 tartronate-semialdehyde synthase
EC 4.1.1.48	 indole-3-glycerol-phosphate synthase
EC 4.1.1.49	 phosphoenolpyruvate carboxykinase (ATP)
EC 4.1.1.50	 adenosylmethionine decarboxylase
EC 4.1.1.51	 3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase
EC 4.1.1.52	 6-methylsalicylate decarboxylase
EC 4.1.1.53	 phenylalanine decarboxylase
EC 4.1.1.54	 dihydroxyfumarate decarboxylase
EC 4.1.1.55	 4,5-dihydroxyphthalate decarboxylase
EC 4.1.1.56	 3-oxolaurate decarboxylase
EC 4.1.1.57	 methionine decarboxylase
EC 4.1.1.58	 orsellinate decarboxylase
EC 4.1.1.59	 gallate decarboxylase
EC 4.1.1.60	 stipitatonate decarboxylase
EC 4.1.1.61	 4-hydroxybenzoate decarboxylase
EC 4.1.1.62	 gentisate decarboxylase
EC 4.1.1.63	 protocatechuate decarboxylase
EC 4.1.1.64	 2,2-dialkylglycine decarboxylase (pyruvate)
EC 4.1.1.65	 phosphatidylserine decarboxylase
EC 4.1.1.66	 uracil-5-carboxylate decarboxylase
EC 4.1.1.67	 UDP-galacturonate decarboxylase
EC 4.1.1.68	 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase
EC 4.1.1.69	 3,4-dihydroxyphthalate decarboxylase
EC 4.1.1.70	 glutaconyl-CoA decarboxylase
EC 4.1.1.71	 2-oxoglutarate decarboxylase
EC 4.1.1.72	 branched-chain-2-oxoacid decarboxylase
EC 4.1.1.73	 tartrate decarboxylase
EC 4.1.1.74	 indolepyruvate decarboxylase
EC 4.1.1.75	 5-guanidino-2-oxopentanoate decarboxylase
EC 4.1.1.76	 arylmalonate decarboxylase
EC 4.1.1.77	 4-oxalocrotonate decarboxylase
EC 4.1.1.78	 acetylenedicarboxylate decarboxylase
EC 4.1.1.79	 sulfopyruvate decarboxylase
EC 4.1.1.80	 4-hydroxyphenylpyruvate decarboxylase
EC 4.1.1.81	 threonine-phosphate decarboxylase
EC 4.1.1.82	 phosphonopyruvate decarboxylase
EC 4.1.1.83	 4-hydroxyphenylacetate decarboxylase
EC 4.1.1.84	 D-dopachrome decarboxylase
EC 4.1.1.85	 3-dehydro-L-gulonate-6-phosphate decarboxylase
EC 4.1.1.86	 diaminobutyrate decarboxylase
EC 4.1.1.87	 malonyl-S-ACP decarboxylase
EC 4.1.1.88	 biotin-independent malonate decarboxylase
EC 4.1.1.89	 biotin-dependent malonate decarboxylase
EC 4.1.1.90	 peptidyl-glutamate 4-carboxylase
EC 4.1.1.91	 salicylate decarboxylase
EC 4.1.1.92	 indole-3-carboxylate decarboxylase
EC 4.1.1.93	 pyrrole-2-carboxylate decarboxylase
EC 4.1.1.94	 ethylmalonyl-CoA decarboxylase
EC 4.1.1.95	 L-glutamyl-(BtrI acyl-carrier protein) decarboxylase
