EC 5.1.1.1	 alanine racemase
EC 5.1.1.2	 methionine racemase
EC 5.1.1.3	 glutamate racemase
EC 5.1.1.4	 proline racemase
EC 5.1.1.5	 lysine racemase
EC 5.1.1.6	 threonine racemase
EC 5.1.1.7	 diaminopimelate epimerase
EC 5.1.1.8	 4-hydroxyproline epimerase
EC 5.1.1.9	 arginine racemase
EC 5.1.1.10	 amino-acid racemase
EC 5.1.1.11	 phenylalanine racemase (ATP-hydrolysing)
EC 5.1.1.12	 ornithine racemase
EC 5.1.1.13	 aspartate racemase
EC 5.1.1.14	 nocardicin-A epimerase
EC 5.1.1.15	 2-aminohexano-6-lactam racemase
EC 5.1.1.16	 protein-serine epimerase
EC 5.1.1.17	 isopenicillin-N epimerase
EC 5.1.1.18	 serine racemase
EC 5.1.2.1	 lactate racemase
EC 5.1.2.2	 mandelate racemase
EC 5.1.2.3	 3-hydroxybutyryl-CoA epimerase
EC 5.1.2.4	 acetoin racemase
EC 5.1.2.5	 tartrate epimerase
EC 5.1.2.6	 isocitrate epimerase
EC 5.1.3.1	 ribulose-phosphate 3-epimerase
EC 5.1.3.2	 UDP-glucose 4-epimerase
EC 5.1.3.3	 aldose 1-epimerase
EC 5.1.3.4	 L-ribulose-5-phosphate 4-epimerase
EC 5.1.3.5	 UDP-arabinose 4-epimerase
EC 5.1.3.6	 UDP-glucuronate 4-epimerase
EC 5.1.3.7	 UDP-N-acetylglucosamine 4-epimerase
EC 5.1.3.8	 N-acylglucosamine 2-epimerase
EC 5.1.3.9	 N-acylglucosamine-6-phosphate 2-epimerase
EC 5.1.3.10	 CDP-paratose 2-epimerase
EC 5.1.3.11	 cellobiose epimerase
EC 5.1.3.12	 UDP-glucuronate 5'-epimerase
EC 5.1.3.13	 dTDP-4-dehydrorhamnose 3,5-epimerase
EC 5.1.3.14	 UDP-N-acetylglucosamine 2-epimerase
EC 5.1.3.15	 glucose-6-phosphate 1-epimerase
EC 5.1.3.16	 UDP-glucosamine 4-epimerase
EC 5.1.3.17	 heparosan-N-sulfate-glucuronate 5-epimerase
EC 5.1.3.18	 GDP-mannose 3,5-epimerase
EC 5.1.3.19	 chondroitin-glucuronate 5-epimerase
EC 5.1.3.20	 ADP-glyceromanno-heptose 6-epimerase
EC 5.1.3.21	 maltose epimerase
EC 5.1.3.22	 L-ribulose-5-phosphate 3-epimerase
EC 5.1.3.23	 UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase
EC 5.1.3.24	 N-acetylneuraminate epimerase
EC 5.1.3.25	 dTDP-L-rhamnose 4-epimerase
EC 5.1.99.1	 methylmalonyl-CoA epimerase
EC 5.1.99.2	 16-hydroxysteroid epimerase
EC 5.1.99.3	 allantoin racemase
EC 5.1.99.4	 a-methylacyl-CoA racemase
EC 5.1.99.5	 hydantoin racemase
EC 5.1.99.6	 NAD(P)H-hydrate epimerase
EC 5.2.1.1	 maleate isomerase
EC 5.2.1.2	 maleylacetoacetate isomerase
EC 5.2.1.3	 retinal isomerase
EC 5.2.1.4	 maleylpyruvate isomerase
EC 5.2.1.5	 linoleate isomerase
EC 5.2.1.6	 furylfuramide isomerase
EC 5.2.1.7	 Deleted, transferred to EC 3.1.1.64
EC 5.2.1.8	 peptidylprolyl isomerase
EC 5.2.1.9	 farnesol 2-isomerase
EC 5.2.1.10	 2-chloro-4-carboxymethylenebut-2-en-1,4-olide isomerase
EC 5.2.1.11	 deleted entry
EC 5.2.1.12	 zeta-carotene isomerase
EC 5.2.1.13	 prolycopene isomerase
EC 5.2.1.14	 beta-carotene isomerase
EC 5.3.1.1	 triose-phosphate isomerase
EC 5.3.1.2	 deleted
EC 5.3.1.3	 arabinose isomerase
EC 5.3.1.4	 L-arabinose isomerase
EC 5.3.1.5	 xylose isomerase
EC 5.3.1.6	 ribose-5-phosphate isomerase
EC 5.3.1.7	 mannose isomerase
EC 5.3.1.8	 mannose-6-phosphate isomerase
EC 5.3.1.9	 glucose-6-phosphate isomerase
EC 5.3.1.10	 now EC 3.5.99.6
EC 5.3.1.11	 deleted
EC 5.3.1.12	 glucuronate isomerase
EC 5.3.1.13	 arabinose-5-phosphate isomerase
EC 5.3.1.14	 L-rhamnose isomerase
EC 5.3.1.15	 D-lyxose ketol-isomerase
EC 5.3.1.16	 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
EC 5.3.1.17	 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
EC 5.3.1.18	 deleted
EC 5.3.1.19	 now EC 2.6.1.16
EC 5.3.1.20	 ribose isomerase
EC 5.3.1.21	 corticosteroid side-chain-isomerase
EC 5.3.1.22	 hydroxypyruvate isomerase
EC 5.3.1.23	 5-methylthioribose-1-phosphate isomerase
EC 5.3.1.24	 phosphoribosylanthranilate isomerase
EC 5.3.1.25	 L-fucose isomerase
EC 5.3.1.26	 galactose-6-phosphate isomerase
EC 5.3.1.27	 6-phospho-3-hexuloisomerase
EC 5.3.1.28	 D-sedoheptulose 7-phosphate isomerase
EC 5.3.2.1	 phenylpyruvate tautomerase
EC 5.3.2.2	 oxaloacetate tautomerase
EC 5.3.2.3	 TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase (dTDP-3-dehydro-6-deoxy-alpha-D-galactopyranose-forming)
EC 5.3.2.4	 TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase (dTDP-3-dehydro-6-deoxy-alpha-D-glucopyranose-forming)
EC 5.3.2.5	 2,3-diketo-5-methylthiopentyl-1-phosphate enolase
EC 5.3.2.6	 2-hydroxymuconate tautomerase
EC 5.3.2.7	 Ascopyrone tautomerase
EC 5.3.2.8	 4-oxalomesaconate tautomerase
EC 5.3.3.1	 steroid D-isomerase
EC 5.3.3.2	 isopentenyl-diphosphate D-isomerase
EC 5.3.3.3	 vinylacetyl-CoA D-isomerase
EC 5.3.3.4	 muconolactone D-isomerase
EC 5.3.3.5	 cholestenol D-isomerase
EC 5.3.3.6	 methylitaconate D-isomerase
EC 5.3.3.7	 aconitate D-isomerase
EC 5.3.3.8	 dodecenoyl-CoA D-isomerase
EC 5.3.3.9	 prostaglandin-A1 D-isomerase
EC 5.3.3.10	 5-carboxymethyl-2-hydroxymuconate D-isomerase
EC 5.3.3.11	 isopiperitenone D-isomerase
