EC 6.1.1.1; tyrosine-tRNA ligase
EC 6.1.1.2; tryptophan-tRNA ligase
EC 6.1.1.3; threonine-tRNA ligase
EC 6.1.1.4; leucine-tRNA ligase
EC 6.1.1.5; isoleucine-tRNA ligase
EC 6.1.1.6; lysine-tRNA ligase
EC 6.1.1.7; alanine-tRNA ligase
EC 6.1.1.8; Deleted
EC 6.1.1.9; valine-tRNA ligase
EC 6.1.1.10; methionine-tRNA ligase
EC 6.1.1.11; serine-tRNA ligase
EC 6.1.1.12; aspartate-tRNA ligase
EC 6.1.1.13; D-alanine-poly(phosphoribitol) ligase
EC 6.1.1.14; glycine-tRNA ligase
EC 6.1.1.15; proline-tRNA ligase
EC 6.1.1.16; cysteine-tRNA ligase
EC 6.1.1.17; glutamate-tRNA ligase
EC 6.1.1.18; glutamine-tRNA ligase
EC 6.1.1.19; arginine-tRNA ligase
EC 6.1.1.20; phenylalanine-tRNA ligase
EC 6.1.1.21; histidine-tRNA ligase
EC 6.1.1.22; asparagine-tRNA ligase
EC 6.1.1.23; aspartate-tRNAAsn ligase
EC 6.1.1.24; glutamate-tRNAGln ligase
EC 6.1.1.25; lysine-tRNAPyl ligase
EC 6.1.1.26; pyrrolysine—tRNAPyl ligase
EC 6.1.1.27; O-phospho-L-serine—tRNA ligase
EC 6.1.2.1; D-alanine—(R)-lactate ligase
EC 6.2.1.1; acetate-CoA ligase
EC 6.2.1.2; butyrate-CoA ligase
EC 6.2.1.3; long-chain-fatty-acid-CoA ligase
EC 6.2.1.4; succinate-CoA ligase (GDP-forming)
EC 6.2.1.5; succinate-CoA ligase (ADP-forming)
EC 6.2.1.6; glutarate-CoA ligase
EC 6.2.1.7; cholate-CoA ligase
EC 6.2.1.8; oxalate-CoA ligase
EC 6.2.1.9; malate-CoA ligase
EC 6.2.1.10; acid-CoA ligase (GDP-forming)
EC 6.2.1.11; biotin-CoA ligase
EC 6.2.1.12; 4-coumarate-CoA ligase
EC 6.2.1.13; acetate-CoA ligase (ADP-forming)
EC 6.2.1.14; 6-carboxyhexanoate-CoA ligase
EC 6.2.1.15; arachidonate-CoA ligase
EC 6.2.1.16; acetoacetate-CoA ligase
EC 6.2.1.17; propionate-CoA ligase
EC 6.2.1.18; citrate-CoA ligase
EC 6.2.1.19; long-chain-fatty-acid-luciferin-component ligase
EC 6.2.1.20; long-chain-fatty-acid-(acyl-carrier-protein) ligase
EC 6.2.1.21; Covered by EC 6.2.1.30
EC 6.2.1.22; (citrate (pro-3S)-lyase) ligase
EC 6.2.1.23; dicarboxylate-CoA ligase
EC 6.2.1.24; phytanate-CoA ligase
EC 6.2.1.25; benzoate-CoA ligase
EC 6.2.1.26; o-succinylbenzoate-CoA ligase
EC 6.2.1.27; 4-hydroxybenzoate-CoA ligase
EC 6.2.1.28; 3a,7a-dihydroxy-5b-cholestanate-CoA ligase
EC 6.2.1.29; Deleted, now EC 6.2.1.7
EC 6.2.1.30; phenylacetate-CoA ligase
EC 6.2.1.31; 2-furoate-CoA ligase
EC 6.2.1.32; anthranilate-CoA ligase
EC 6.2.1.33; 4-chlorobenzoate-CoA ligase
EC 6.2.1.34; trans-feruloyl-CoA synthase
EC 6.2.1.35; ACP-SH:acetate ligase
EC 6.2.1.36; 3-hydroxypropionyl-CoA synthase
EC 6.2.1.37; 3-hydroxybenzoate—CoA ligase
EC 6.2.1.38; (2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA synthase
EC 6.2.1.39; (butirosin acyl-carrier protein)—L-glutamate ligase
EC 6.3.1.1; aspartate-ammonia ligase
EC 6.3.1.2; glutamate-ammonia ligase
EC 6.3.1.3; Now EC 6.3.4.13
EC 6.3.1.4; aspartate-ammonia ligase (ADP-forming)
EC 6.3.1.5; NAD+ synthase
EC 6.3.1.6; glutamate-ethylamine ligase
